[SYS] 2025/03/31 - 11:44:00 | New API v0.0.0 started 
[SYS] 2025/03/31 - 11:44:00 | using MySQL as database 
[SYS] 2025/03/31 - 11:44:00 | database migration started 
[SYS] 2025/03/31 - 11:44:00 | database migrated 
[SYS] 2025/03/31 - 11:44:00 | using MySQL as database 
[SYS] 2025/03/31 - 11:44:00 | database migration started 
[SYS] 2025/03/31 - 11:44:01 | Redis is enabled 
[SYS] 2025/03/31 - 11:44:01 | memory cache enabled 
[SYS] 2025/03/31 - 11:44:01 | sync frequency: 60 seconds 
[SYS] 2025/03/31 - 11:44:01 | channels synced from database 
[SYS] 2025/03/31 - 11:44:01 | batch update enabled with interval 5s 
[SYS] 2025/03/31 - 11:44:01 | pprof enabled 
[SYS] 2025/03/31 - 11:44:01 | initializing token encoders 
[SYS] 2025/03/31 - 11:44:01 | 正在更新数据看板数据... 
[SYS] 2025/03/31 - 11:44:01 | 保存数据看板数据成功，共保存0条数据 
